TYPE, GROUP1, GROUP2, EXPECTED_RESULT
ACRONYM,[network video recorder],[NVR],Y
ACRONYM,[International Accounting Standards Board],[IASB],Y
ACRONYM,[Virtualized Network Function],[VNF],Y
ACRONYM,[Enterprise Data Management Council],[EDMC],Y
ACRONYM,[transaction processing software],[TPS],N
ACRONYM,[Manufacturing Execution System],[MES],Y
ACRONYM,[Modern Art Specialist],[MAS],N
ACRONYM,[Programmable Automation Controller],[PAC],Y
ACRONYM,[Patrizia C. McBride],[PCM],N
ACRONYM,[wireless local loop],[WLL],Y
ACRONYM,[albeit not undervalued],"[Anu, ANU]",N
ACRONYM,[Richard D. Shiels],[RDS],N
ACRONYM,[Common Weakness Enumeration],[CWE],Y
ACRONYM,[Brocade Communications Systems],[BCS],N
ACRONYM,[Host Card Emulation],[HCE],Y
ACRONYM,[Dependable Vehicular Communications],[DVC],Y
ACRONYM,[Amazon Web Services],[AWS],Y
ACRONYM,[Paschall Truck Lines],[PTL],Y
ACRONYM,[Baidu Log Service],[BLS],Y
ACRONYM,[unstructured health data],[UHD],N
ACRONYM,[Business Transformation Initiative],[BTI],Y
ACRONYM,[Neural Information Processing Systems],[NIPS],Y
ACRONYM,[cloud system infrastructure services],[CSIS],N
ACRONYM,[Maybank IB Research],[MIR],N
ACRONYM,[IBM Enterprise analytics],[IEA],N
ACRONYM,[hospital acquired infections],[HAI],Y
ACRONYM,[FirstWave Cloud Technology],[FCT],Y
ACRONYM,[elaborate security protocols],[ESP],N
ACRONYM,[Toyota Production System],[TPS],Y
ACRONYM,[cloud giants Microsoft],[CGM],N
ACRONYM,[Dependency Discovery Engine],[DDE],Y
ACRONYM,"[global business services, Global Business Services]",[GBS],Y
ACRONYM,[enterprise content management],[ECM],Y
ACRONYM,[Generic Routing Encapsulation],[GRE],Y
ACRONYM,[Telecommunication Development Industry Alliance],[TDIA],Y
ACRONYM,[Universiti Teknologi Petronas],[UTP],Y
ACRONYM,"[chief commercial officer, Chief Commercial Officer]",[CCO],N
ACRONYM,[cognitive machine learning],[CML],Y
ACRONYM,"[Senior Vice President, senior vice president, senior vice-president]",[SVP],N
ACRONYM,[Sword Art Online],[SAO],N
ACRONYM,[Vision Processor Units],[VPU],Y
ACRONYM,[media resource function],[MRF],Y
ACRONYM,[Consumer Intelligence Research Partners],[CIRP],Y
ACRONYM,[powerful and innovative],[PAI],N
ACRONYM,[Applied Cognitive Engine],[ACE],Y
ACRONYM,[Network Function Virtualization],[NFV],Y
ACRONYM,[Asia Pacific Economic Cooperation],[APEC],Y
ACRONYM,[deepest AI investments],[DAI],N
ACRONYM,[entire IT stack],[EIS],N
ACRONYM,"[Chief executive officer, Chief Executive Officer, chief executive officer]","[CEO, ceo, CEOs]",Y
ACRONYM,[Lawrence Livermore National Laboratory],[LLNL],Y
ACRONYM,[Qualcomm CDMA Technologies],[QCT],Y
ACRONYM,[Chief Engineer Doomed],[CED],N
ACRONYM,"[support vector machine, support vector machines]",[SVM],Y
ACRONYM,[Licensed ZapThink Architect],[LZA],Y
ACRONYM,[important AI myths],[IAM],N
ACRONYM,[ultra high definition],[UHD],Y
ACRONYM,[liquid crystal display],[LCD],Y
ACRONYM,[chief cognitive officer],[CCO],N
ACRONYM,[Ernst Strngmann Institute],[ESI],Y
ACRONYM,[National Stock Exchange],[NSE],Y
ACRONYM,[Totally Integrated Automation],[TIA],Y
ACRONYM,[travel management companies],[TMC],N
ACRONYM,[Dublin City University],[DCU],Y
ACRONYM,"[feature-rich, accelerated-ROI offerings]",[FAO],N
ACRONYM,[British Computer Society],[BCS],Y
ACRONYM,"[Optical Character Recognition, optical character recognition]",[OCR],Y
ACRONYM,"[mobile-device-management, Mobile Device Management, mobile device management]",[MDM],Y
ACRONYM,[integrated developer experience],[IDE],N
ACRONYM,"[executive vice-president, executive vice president, Executive Vice president, Executive Vice President]",[EVP],Y
ACRONYM,[medical research company],[MRC],N
ACRONYM,[driving business engagements],[DBE],N
ACRONYM,[Red Hat Enterprise Linux],[RHEL],Y
ACRONYM,[Intel Developer Forum],[IDF],Y
ACRONYM,[Israeli Defense Forces,[IDF],Y
ACRONYM,"[Tokyo Game Show, Tokyo Games Show]",[TGS],Y
ACRONYM,[Accountable Care Organizations],[ACO],Y
ACRONYM,"[Chief Technology Officer, chief technology officer]",[CTO],Y
ACRONYM,[Allen Telescope Array],[ATA],Y
ACRONYM,[Google Compute Cloud],[GCC],N
ACRONYM,"[Decision Support Systems, Decision support systems]",[DSS],Y
ACRONYM,[predictive threat intelligence],"[Pty, PTI]",N
ACRONYM,"[Geographic Information Systems, geographic information system]",[GIS],Y
ACRONYM,"[TV game shows, TV game show]",[TGS],N
ACRONYM,[Brazilian police arrest],[BPA],N
ACRONYM,[infrastructure solutions provider],[ISP],N
ACRONYM,"[Real-time bidding, real time bidding]",[RTB],Y
ACRONYM,[American Diabetes Association],[ADA],Y
ACRONYM,[Tableau Data Engine],[TDE],Y
ACRONYM,[Text To Speech],[TTS],Y
ACRONYM,[Inari Integrated System],[IIS],Y
ACRONYM,[comprehensive booking system],[CBS],N
ACRONYM,[muscle tension dysphonia],[MTD],Y
ACRONYM,[Airplane Health Management],[AHM],Y
ACRONYM,[unified Windows platform],[UWP],N
ACRONYM,[Data Science Experience],[DSE],N
ACRONYM,"[natural language processing, Natural-language processing, natural-language processing, Natural language processing, Natural Language processing, natural-language-processing, Natural Language Processing]",[NLP],Y
ACRONYM,[streaming video giant],[SVG],N
ACRONYM,[type 1 diabetes],[T1D],Y
ACRONYM,[Greenfield IT solutions],[GIS],N
ACRONYM,[campaign management platform],[CMP],N
ACRONYM,[smart robot manufacturers],[SRM],N
ACRONYM,[American Marketing Association],"[AMAs, AMA]",Y
ACRONYM,[Advanced Message Queuing Protocol],[AMQP],Y
ACRONYM,[Killer DoubleShot Pro],[KDP],N
ACRONYM,[Vice President Sales],"[VPs, Vps]",N
ACRONYM,[personal communications services],[PCS],Y
ACRONYM,[mobile ECM app],[MEA],N
ACRONYM,[complex data sets],[CDs],N
ACRONYM,[Enterprise Specific Protection],[ESP],Y
ACRONYM,[Moving Average Convergence Divergence],[MACD],Y
ACRONYM,[Asset Performance Management],[APM],Y
ACRONYM,"[public-cloud infrastructure, public cloud infrastructure]",[PCI],N
ACRONYM,"[Chief Operating Officer, chief operation officer, chief operating officer]",[COO],Y
ACRONYM,[Rock-Solid Dividend Stocks],[RDS],N
ACRONYM,[autonomous mobile robotics],[AMR],Y
ACRONYM,[Square Kilometer Array],[SKA],Y
ACRONYM,[cloud-based software solutions],[CSS],N
ACRONYM,[International Telecommunication Union],[ITU],Y
ACRONYM,[Malaysia Digital Economy Corporation],[MDEC],Y
ACRONYM,"[continuous glucose monitors, continuous glucose monitoring]",[CGM],Y
ACRONYM,[Anita Borg Institute],[ABI],Y
ACRONYM,[effective communication method],[ECM],N
ACRONYM,[Levodopa equivalent dose],"[LEDs, LED]",Y
ACRONYM,"[Field Programmable Gate Arrays, field programmable gate array, Field Programmable Gate Array, field-programmable gate arrays, field programmable gate arrays]",[FPGA],Y
ACRONYM,[South Africa-born entrepreneur],[SAE],N
ACRONYM,[significant societal dislocation],[SSD],N
ACRONYM,[accelerated processing unit],[APU],Y
ACRONYM,[cloud industry partners],[CIP],N
ACRONYM,[dense CPU/memory model],[DCM],N
ACRONYM,[detailed product roadmaps],[DPR],N
ACRONYM,[Grand Theft Auto],[GTA],Y
ACRONYM,[Bloombergs Monte Reel],[BMR],N
ACRONYM,[credit score engine],[CSE],N
ACRONYM,"[Hewlett-Packard Enterprise, Hewlett Packard Enterprise]",[HPE],Y
ACRONYM,[Cyber Physical Systems],[CPS],Y
ACRONYM,[soil tension meters],[STM],N
ACRONYM,"[digital signal processors, digital signal processor]",[DSP],Y
ACRONYM,[Digital Health Access Initiative],[DHAI],Y
ACRONYM,[productivity cost savings],[PCS],N
ACRONYM,[Thrust Management Computer],[TMC],Y
ACRONYM,[SaaS Enablement Framework],[SEF],Y
ACRONYM,[current market research],[CMR],N
ACRONYM,[cross sectional study],[CSS],N
ACRONYM,[Mobile World Congress],[MWC],Y
ACRONYM,[Palo Alto Networks],[PAN],N
ACRONYM,[data science toolkit],[DST],Y
ACRONYM,[Language Understanding Intelligent Service],[LUIS],Y
ACRONYM,[phone company stocks],[PCS],N
ACRONYM,[product life cycle/management],[PLC],N
ACRONYM,[climate change deniers],[ccd],N
